judul,Penulis,Pembimbing 1,Pembimbing 2,Abstrak,Abstract
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Sistem Pakar Diagnosa Penyakit Gagal Jantung Menggunakan Metode Radial Basis Function,Penulis : Shofiyan Yulis Ekasaputra,"Dosen Pembimbing I : Mulaab, S.Si., M.Kom.","Dosen Pembimbing II :Firli Irhamni, ST., M.Kom","Penyakit gagal jantung merupakan salah satu darimacam-macam penyakit jantung, pada penderita gagal jantung, detakanjantungnya tidak berjalan secara normal, dalam melakukan aktivitas normal penderita cenderung mudah lelah, Penyebabnya adalah rusaknya otot jantung serta karena adanya beban jantung yang berlebihan, pada saat ini penderita penyakit gagal jantung tiap tahunnya semakin meningkat, dan lebih cenderung mengenai laki-laki daripada perempuan. Oleh karena itu, perkembangan teknologi informasi dan komunikasi menjadi media utama untuk menjembatani permasalahan tersebut. Di bidang medis, peranan teknologi informasi dan komunikasi dikemas dalam suatu wadah informatika medis, sehingga dibuatlah sebuah sistem pakar penyakit gagal jantung yang nantinya diharapkan bisa bermanfaat untuk mengetahui lebih dini penyakit gagal jantung, sehingga dapat ditangani lebih cepat dan mengurangi resiko meninggal dunia, dalam hal ini aplikasi untuk mendiagnosa penyakit gagal jantung menggunakan metode Radial Basis Function, dengan penentuan hidden node menggunakan K-Means Cluster, metode K-Means digunakan karena ketepatan penentuan nilai centroid yang akurat, fungsi aktivasi yang digunakan pada penelitian ini hanya menggunakan fungsi aktivasigaussian, inputan terdiri dari 16 variabel, berdasarkan keluhan dan gejala-gejala yang dialami oleh pasien, data training dan data testing yang digunakan berasal dari rekammedik Rumah Sakit Umum DaerahSidoarjo. Kata Kunci : Radial Basis Function, K-Means, Gaussian","heart failure disease is one of the kinds of heart disease , in patients with heart failure , the heart beatsdoesn’t runnormally , in the normal activities of people tend to be tired , cause is damage to the heart muscle and heart due to excessive load , the current heart failure disease patients increasing every year , and more likely to be male than the female . Therefore , the development of information and communication technologies became the main medium for bridging these problems . In the medical field , the role of information and communication technology packaged in a container of medical informatics , which was made a heart failure disease expert system which is expected to be useful to know the disease of heart failure early , so it can be handled more quickly and reduce the risk of death, in this case application for diagnose heart failure disease using the Radial Basis Function method , the determination of hidden nodes using the K-Means Cluster , K-Means method is used for precision determination of an accurate value of the centroid , the activation function used in this study only uses gaussian activation function , input consists of 16 variables , based on complaints and symptoms experienced by the patient , training data and testing data were taken from medical records Sidoarjo District General Hospital Keywords: Radial Basis Function, K-Means, Gaussian"
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
PENGENALAN POLA SENYUMAN BERBASIS EKSTRAKSI FITUR PRINCIPAL COMPONENT ANALYSIS (PCA) DAN LINIER DESCRIMINANT ANALYSIS (LDA),Penulis : SITI KHOLILAH,"Dosen Pembimbing I : RIMA TRI WAHYUNINGRUM, S.T., M.T","Dosen Pembimbing II :HARYANTO, S.T., M.T","Citra senyum merupakan salah satu fitur biometrik yang dapat dijadikan sebagai bukti autentik dari seseorang. Sistem pengenalan pola (pattern recognition) secara komputerisasi, akan mengetahui identitas atau ciri diri seseorang. Pengenalan senyum telah banyak diteliti oleh banyak kalangan. Salah satu bentuk penerapan pengenalan pola senyum ini adalah mengetahui senyum seseorang sehingga nantinya senyum tersebut dapat dikenali oleh komputer dan disimpan dalam database. Terdapat dua cara untuk menentukan pola senyuman yaitu secara manual dan otomatis. Secara manual dapat dilakukan dengan kasat mata, sedangkan secara otomatis dapat di tentukan dengan menggunakan suatu sistem. Pada  Tugas Akhir ini, mengidentifikasi senyuman secara otomatis digunakan metode Principal Component Analysis (PCA) dan Linier Descriminant Analysis (LDA), dimana jenis senyuman pada tugas akhir ini dibagi menjadi lima bagian, yaitu senyum manis, senyum mengejek, senyum yang dipaksakan, senyum tertutup dan senyum terbuka. Penggunaan metode ekstraksi fitur  yang tepat dan efisien  sangat menentukan keberhasilan dari sistem pengenalan pola secara keseluruhan. Untuk metode klasifikasi pengenalan pola menggunakan Euclidean Distance atau Manhattan Distance. Dari hasil uji coba menggunakan 175 gambar data pelatihan didapatkan tingkat akurasi PCA adalah 89.8% pada ordered3. Sedangkan hasil uji coba menggunakan PCA & LDA didapatkan tingkat akurasi 100% pada ordered3.","Image of a smile is one of the biometric features which can be used as proof of one's authentic. Computerized pattern recognition system, will know the identity or characteristics of a person. The introduction of a smile has been studied by many groups. One form of the application of pattern recognition of smile is know someone smile that will be recognized by the computer and stored in a database. There are two ways to determine patterns of a smile, manually and automatically. Manually can be done with the naked eye, while automatically can be determined by using a system. In this final project, identifying the smile is automatically used method of Principal Component Analysis (PCA) and Linear Discriminant Analysis (LDA), which kind of smile in this thesis is divided into five parts, the sweet smile, mocking smile, a forced smile, a smile covered and an open smile. The use of the appropriate feature extraction methods and efficiently determine the success of the overall pattern recognition system. For classification method of pattern recognition using Euclidean Distance or Manhattan Distance. From the test results using 175 images of training data obtained accuracy rate was 89.8% in the PCA in ordered3. While the results of trials using PCA and LDA obtained 100% accuracy rate in ordered3."
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
"Pengenalan Tipe Huruf Aksara di Indonesia Menggunakan Edge Direction Matrix (Batak Toba, Kaganga, Carakan, Had Lampung)",Penulis : Sulayhah,"Dosen Pembimbing I : Bain Khusnul khotimah, S.T.,M.Kom","Dosen Pembimbing II :Rima Tri Wahyuningrum, S.T.,M.T","Optical Font Recognition (OFR) merupakan  teknik analisa tipe tulisan pada teks atau dokumen yang sangat diminati. Penelitian ini menguji keefektifan penggunaan analisa ekstraksi fitur global berdasarkan analisa statistik pada perilaku piksel tepi citra biner OFR. Salah satu metode OFR berdasarkan pendekatan global adalah Edge Direction Matrix (EDM).  EDM merupakan sebuah metode baru pada ekstraksi fitur untuk citra biner dimana perilaku piksel tepi antara background putih dan pola hitam diambil sebagai fitur pola. Kemudian nilai tersebut disimpan pada matrik EDM1 dan EDM2  sesuai dengan delapan arah sudut. Dari nilai matrik yang terbentuk kemudian akan dihitung berdasarkan enam persamaan EDM sehingga membentuk 22 nilai fitur. Dalam hal ini dataset yang digunakan untuk pengujian berjumlah 1200 data citra yang berasal dari empat aksara kuno yang ada di Indonesia yaitu Aksara Carakan, Aksara Batak Toba, Aksara Had Lampung dan Aksara Kaganga. Setiap aksara mempunyai empat style font yaitu Bold, Bold-Italic, Italic dan Regular. Penelitian ini menggunakan metode Euclidean Distance dalam proses klasifikasi dan pengenalan tipe tulisan sehingga mendapatkan hasil akurasi pengenalan tertinggi mencapai 83,7% pada skenario ke 5 dengan jumlah data ujicoba sebanyak 208 data. ","Optical Font Recognition (OFR) is a font analysis technique on text or document that is in demand. This study examines the effectiveness of using global feature extraction analysis that is based on a statistical analysis of the behavior of the edge pixels of binary image OFR. One of OFR methods that is based on a global approach is Edge Direction Matrix (EDM). EDM is a new method of feature extraction for binary image in which the behavior of edge pixels between a white background and black pattern is taken as a feature pattern. Then, the value is stored in the matrix EDM1 and EDM2 that in accordance with the eight corner directions. From the value of matrix that is formed then it will be calculated based on the six equalities EDM with the result that form 22 feature values. In this case, the dataset used for testing amount to 1200 image data from four ancient letters of the alphabet that exist in Indonesia, they are Carakan, Batak Toba, Had Lampung and Kagang scripts. Each character has four font style, those are Bold, Bold-Italic, Italic and Regular. This study uses Euclidean Distance in the process of classification and recognition of the writing type to get the highest recognition accuracy that reaches 83.7% on the fifth scenario with the amount of try-out data as many 208 data."
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
AUTO LEVELING BERBASIS FINITE STATE MACHINE (FSM) PADA GAME PEMBELAJARAN BAHASA INGGRIS,Penulis : Syafrial Nur Maulana,"Dosen Pembimbing I : Arik Kurniawati, S.Kom.,M.T.","Dosen Pembimbing II :Ari Kusumaningsih, S.T., M.T.","Pengetahuan tentang bahasa Inggris pada jaman globalisasi saat ini sangatlah penting dan menjadi salah satu sarana untuk berkompetisi di segala bidang. Namun demikian, seringkali proses pembelajaran tidak dapat berjalan dengan lancar dikarenakan kurangnya metode pembelajaran yang kurang interaktif. Berangkat dari permasalahan tersebut maka dibangunlah sebuah game yang berunsur edukasi. Game berunsur edukasi harusnya menyenangkan dan tidak terlalu mudah atau terlalu sulit dimainkan  salah satunya dengan penerapan Artifical Intelegent (kecerdasan buatan). Dalam penelitian ini adalah bagaimana pemain mendapatkan tantangan (soal) sesuai dengan kemampuannya (pelevelan mandiri/auto leveling). Sehingga pemain tidak merasa frustasi (jika soalnya terlalu sulit) atau bosan (jika soalnya terlalu mudah). Metode yang dapat digunakan untuk membuat game yang mempunyai pelevelan mandiri adalah metode Finite State Machine (FSM) dan seluruhnya akan diimplementasikan kedalam game engine XNA. Dalam game pembelajaran bahasa Inggris ini terdapat speaking dan reading yang akan memanfaatkan teknologi speech recognition yang terdapat didalam XNA game studio. Dengan melakukan uji coba sistem kepada responden menghasilkan beberapa hal menjadikan game sebagai salah satu media pembelajaran, terciptanya game yang menarik dan menjadi game yang adaptif dengan penerapan perlevelan mandiri. Penggunaan speech recognition dapat meningkatkan kemampuan berbicara dalam bahasa Inggris. 

Kata Kunci : Education Game, Automatic Leveling, FSM (Finite State Machine), XNA game engine, Speech Recognition.
","Understanding of English language in this globalization era is very important and become one of the tools to compete in all areas. However, often learning process can not proceed smoothly because less of the interactive learning methods. By that problem, an educational game was created. An educational game should be fun and not too easy or too difficult to play. And one of them are applying the artificial intelligence. In this research is how the players get a challenge (questions) according to their ability (self Leveling / auto leveling), so they will not feel frustrated (if the questions are too difficult) or bored (if the questions are too easy). The method that can be used to create a game that have independent Leveling is Finite State Machine (FSM) methode and will be implemented into the entire XNA game engine. In this English learning game there are “speaking”  and  “reading”  that will utilize speech recognition technology contained within the XNA game studio. By testing the system to the respondent, it produces that the game become one of the learning tools, creating an exciting and adaptive game with applying an independent level. Using speech recognition can increase the ability to speak in English.

Key Words : Education Game, Automatic Leveling, FSM (Finite State Machine), XNA game engine, Speech Recognition.
"
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
"Implementasi Peramalan Penjualan Produk STARFOOD Menggunakan Metode Moving Average (MA) Dan Single Exponential Smoothing (SES) (Studi Kasus : CV. Wira Usaha Bugar, Kec. Tragah, Kab. Bangkalan)",Penulis : Uhdi Sony Pudiardana,"Dosen Pembimbing I : Achmad Jauhari, S.T., M.Kom.","Dosen Pembimbing II :Sigit Susanto Putro, S.Kom., M.Kom.","Salah satu komponen penting yang menunjang operasi perusahaan adalah kegiatan memprediksi jumlah penjualan untuk periode selanjutnya. Dengan prediksi yang baik dapat dibuat rencana kerja perusahaan lebih efektif dan efisien. Sehingga dapat meminimalisir terjadinya kelebihan stok barang di gudang yang menyebabkan kerugian bagi perusahaan. Penelitian ini mengidentifikasi pola data penjualan produk STARFOOD di C.V. Wira Usaha Bugar Kecamatan Tragah, Kabupaten Bangkalan. agar mendapatkan metode peramalan yang terbaik berdasarkan pola data penjualan penjualan produk. Oleh karena itu dibutuhkan implementasi yang dapat memprediksi jumlah penjualan tiap minggunya agar perusahaan mendapatkan keuntungan yang maksimal. Dari beberapa hasil tes perhitungan peramalan yang telah dilakukan dapat diambil kesimpulan bahwa proses peramalan penjualan produk STARFOOD menggunakan metodeMoving Average (MA) lebih baik dari pada metode Single Exponential Smoothing (SES), dengan rata-rata bergerak m=12 dan menghasilkan MAPE 12,51%  dari semua produk untukstudikasusdi CV. Wira Usaha Bugar Kec. Tragah, Kab. Bangkalan.","One of the essential components that support the company's operations is the work of predicting the amount of sales for the next period. With a good prediction, can giving the company's more effective and efficient work plan. So as to minimize the occurrence of excess inventory in the warehouse which causes harm to the company.  This study identifies patterns of product sales data STARFOOD CV Wira Usaha Bugar District of Tragah, Bangkalan. In order to get the best forecasting method based on the pattern of sales data product. It is therefore necessary that the implementation can predict the number of sales per week for the company to get the maximum benefit. From the results of tests for the prediction that has been done concluded the process of STARFOOD product sales forecasting using Moving Average (MA) is better than the Single Exponential Smoothing (SES) methods, with moving average m = 12 and generate MAPE 12.51 % of all products for the case study at CV. Wira Usaha Bugar  District of Tragah, Bangkalan. "
,,,,,
,,,,,
,,,,,
PERANCANGAN ZUCARA SEBAGAI MEDIA PEMBELAJARAN CAPOEIRA BERBASIS ANDROID,Penulis : Wahyu Hakim Fiddin,"Dosen Pembimbing I : Cucun Very Angkoso, S.T., M.T","Dosen Pembimbing II :Bain Khusnul Khotimah, S.T., M.Kom","Pembelajaran/Tutorial pada perangkat selular lebih praktis dibandingkan dengan pembelajaran konvensional tatap muka, karena pengguna dapat belajar dengan fleksibel dimana saja tanpa adanya batasan ruang dan waktu. Pembelajaran mobile dapat memberikan kemudahan dalam memahami sesuatu tanpa mengganggu hal-hal yang berhubungan dengan manusia .
Capoeira sebagai salah satu kebudayaan populer di dunia telah merebut hati penggemarnya dari berbagai kalangan usia, gender, kultur dan lain sebagainya. Karena Capoeira terdapat nilai universal yang mampu menjadikan satu dalam perbedaan, terlebih Capoeira dianggap efektif sebagai salah satu gaya hidup sehat dalam unsur sportnya.
Madura sebuah pulau Indah yang juga tak kalah dalam Capoeira. Disini terdapat suatu kelompok yang fokus dan eksis dalam mempelajari dan mengembangkan Capoeira. Adalah Zungu Capoeira Madura nama dari kelompok ini yang berafiliasi dengan Induknya di Brasil membuat inovasi Zucara sebagai media pembelajarannya. 
Penulis menggunakan Android sebagai platform media aplikasi ini karena android berbasis open source. Kebutuhan akan media pembelajaran ini diimplementasikan pada perangkat selular yang menggunakan sistem operasi Android versi 2.3 Gingerbread. Harapan dari aplikasi ini adalah pengguna dapat meningkatkan skill Capoeira dengan mengakses langsung dari perangkat selular mereka.
","Learning / Tutorial on the mobile device is more practical than the conventional face-to-face learning, because the user can learn to flexibly anywhere without the constraints of space and time. Mobile learning can make it easier to understand something without disturbing matters relating to human. 
Capoeira as one of the popular culture in the world has captured the hearts of fans of all ages, gender, culture and so forth. Because there are universal values ??that Capoeira is able to make a difference in, especially Capoeira considered effectively as one element of a healthy lifestyle in sports. 
Madura, an island that is equally beautiful in Capoeira. Here there is a focus group and exist in studying and developing Capoeira. Madura Zungu Capoeira is the name of this group is affiliated with The mother in Brazil Zucara make innovation as a learning medium. 
The author uses Android as a media platform for android application based on open source. The need for a medium of learning is implemented on mobile devices that use the Android operating system version 2.3 Gingerbread. Expectations of this application is that users can increase the skills of Capoeira with access directly from their mobile devices."
,,,,,
,,,,,
,,,,,
Implementasi Algoritma Enkripsi RSA Untuk Aplikasi Komunikasi Berbasis Teks Menggunakan Bluetooth Pada OS Android,Penulis : Wahyu Tri Suseno,"Dosen Pembimbing I : Cucun Very Angkoso S.T, M.T.","Dosen Pembimbing II :Ari Kusumaningsih S.T, M.T","Perkembangan teknologi komunikasi yang begitu cepat memicu perkembangan teknologi telpon seluler sebagai salah satu alat komunikasi modern. Komunikasi data yang diimplementasikan juga beragam, teks, gambar bahkan suara. Medium yang digunakan-pun kini beragam baik itu internet, local connection hingga bluetooth. Bluetooth dapat dipilih sebagai alternatif medium untuk menghubungkan satu perangkat dengan perangkat lain. Ditambah lagi dengan perkembangan android yang belakangan ini juga semakin pesat semakin memberi kemudahan untuk betukar data melalui bluetooth. Bluetooth mampu menghubungkan perangkat yang satu dengan perangkat lainnya. Ini kemudian memungkinkan antar perangkat dapat saling bertukar atau berkirim data. Namun, dalam proses pengiriman data tersebut tidak ada yang dapat menjamin keamanannya. Hal ini yang kemudian membuat proses enkripsi menjadi hal yang penting. Data yang dikirim terlebih dahulu dikodekan sedemikian rupa hingga hanya dengan kunci tertentu kode tersebut dapat dibaca. RSA kemudian muncul sebagai salah satu alternatif algoritma yang dapat digunakan menangani proses enkripsi tersebut. RSA memiliki teknik pemfaktoran yang cukup rumit, hal ini membuat tingkat keamanannya cukup tinggi. Selain itu, RSA juga cocok diaplikasikan dalam platform mobile karena memiliki struktur yang asimetris sehingga tidak terlalu membebani sistem yang dimiliki oleh perangkat mobile tersebut. Pengujian aplikasi ini sudah teruji melalui perhitungan manual dan dari pengambilan dua device yang berbeda. ","Development of communication technology is rapidly trigger the development of mobile phone technology as one means of modern communication. Data communication is implemented also varied, text, images and even sound. Medium is used-it was now a good variety internet, local connection to bluetooth. Bluetooth can be chosen as an alternative medium to connect one device with another device. Coupled with the recent development of android is also growing rapidly more and provide convenience for betukar data via bluetooth.Bluetooth devices are able to connect one with the other devices. This then enables inter-device to exchange or send data. However, in the process of sending data no one can guarantee safety. This then makes the encryption process becomes important. First data sent coded such that only the specific key code can be read. RSA later emerged as one of the alternative algorithm that can be used to handle the encryption process.RSA has a factoring technique is quite complicated, it makes quite a high level of security. In addition, RSA is also properly used in the mobile platform because it has an asymmetric structure so as not to overload the system owned by the mobile device. Testing of these applications have been tested through manual calculations and of taking two different devices. "
,,,,,
Implementasi Jena dan SPARQL untuk Optimalisasi Pencarian pada Semantik Web,Penulis : Yanuari Dwi Prianto,"Dosen Pembimbing I : Fika Hastarita R, ST., M.Eng","Dosen Pembimbing II :Iwan Santosa, ST., MT","Search engine saat ini menggunakan mekanisme temu balik informasi dengan hasil yang belum optimal, dikarenakan proses pencarian dilakukan dengan mencocokkan query dengan kata pada konten, serta pembobotan tanpa memperhitungkan relasinya, juga proses pencarian klasik memakai acuan dokumen hypertext yang tidak terstruktur dan masih berupa bahasa alami. Beberapa permasalahan tersebut menyebabkan proses pencarian tidak akurat sesuai dengan kata kunci yang dimasukkan. Untuk menjawab permasalahan tersebut telah dikembangkan sebuah sistem yang disebut web semantik. Pada mekanisme web semantik, proses pencariannya menggunakan dokumen yang sudah terstruktur dan memiliki kemampuan untuk memberikan pengetahuan kepada mesin yaitu Resource Description Framework (RDF). Pada penelitian ini telah dibuat sebuah prototype mesin pencari berbasis web semantik. Teknologi web semantik yang digunakan pada penelitian ini berfokus pada pembuatan dokumen RDF untuk mendeskripsikan metadata menjadi sebuah resource yang memiliki susunan semantik (subjek-predikat-objek) dan menggunakan SPARQL yang mengambil modul ARQ pada Jena Library untuk mekanisme pencariannya. Penelitian ini telah menghasilkan dokumen RDF dari domain detikinet.com sebagai sumber pencarian yang valid sesuai struktur RDF dan standarisasi dokumen RDF dari W3C, juga menghasilkan prototype mesin pencari dengan optimalisasi Jena dan SPARQL yang menghasilkan nilai rata-rata precission 0.52, recall 0.63, f-measure 0.53.","Search engines today use information retrieval mechanism with unoptimal results, because the search process is done by matching the query with a word on the content, as well as the weighting regardless of their relationships, and the search process using the classical reference hypertext documents that are not structured and is still a natural language. Some of these problems lead to inaccurate search process according to the keywords entered. To answer these problems has developed a system called the semantic web. On the mechanism of the semantic web, the search process using a document that is structured and has the ability to impart knowledge to the machine that is Resource Description Framework (RDF). In this research has made a prototype semantic web based search engine. Semantic web technology is used in this study focused on the manufacture of RDF to describe metadata document into a resource that has a semantic structure (subject-predicate-object) and using SPARQL which take modules in Jena ARQ Library for its search mechanism. This research has produced RDF document as a source of domain detikinet.com valid search structure corresponding RDF and RDF documents of the W3C standardization, also produce a prototype search engine optimization with Jena and SPARQL which produces an average value precission 0.52, recall  0.63, f- measure 0:53."
,,,,,
Segmentasi Parasit Malaria Dalam Sel Darah Menggunakan Operasi Morfologi Dan Transformasi Watershed,Penulis : Yenni Rahmawati,"Dosen Pembimbing I : Rima Tri Wahyuningrum, S.T.,M.T.","Dosen Pembimbing II :Fitri Damayanti, S.Kom., M.Kom","Malaria disebabkan oleh intraseluler parasit bersel tunggal yang dimiliki genus Plasmodium yang menginfeksi manusia dengan memasuki aliran darah. Dampak malaria secara geografis memiliki tingkat  transmisi tertinggi di daerah tropis dan subtropics, yaitu di negara-negara yang memiliki tingkat pertumbuhan penduduk yang besar (termasuk Indonesia). Pendeteksian parasit malaria dapat dilakukan mencari titik kromatin. Bila tidak ada titik kromatin pada sel darah merah  maka sel darah merah tersebut di anggap sebagai sel darah merah sehat. Pendeteksian titik kromatin secara manual akan memerlukan waktu yang lama. Proses segmentasi diharapkan sebagai langkah pertama untuk memudahkan pendeteksian titik kromatin karena segmentasi merupakan  salah  satu  faktor yang sangat penting dalam analisis suatu gambar. Penelitian ini melakukan segmentasi sel darah merah dengan menggunakan operasi Morfologi, deteksi tepi Canny, dan transformasi Watershed. Data yang digunakan sebanyak 15 data citra dan setiap citra akan diuji dengan empat macam operasi Morfologi kemudian citra hasil Morfologi akan diuji sebanyak 16 kali percobaan dengan parameter masking, sigma, high threshold (HT), dan low threshold (LT) dari deteksi tepi Canny. Hasil pengujian kemudian disegmentasi dengan menggunakan transformasi Watershed. Perhitungan tingkat akurasi dilakukan dengan membandingkan koordinat tiap piksel citra hasil segmentasi dengan citra ground truth  dan menghasilkan nilai rata-rata akurasi sebesar 39.3 %.","Malaria is caused by single celled intracellular parasites that belong to genus Plasmodium which infect human by entering bloodstream. The impact of malaria geographically has the highest transmission level in tropical and subtropical area; those are in countries that have large population growth rate (including Indonesia). Detection of malaria parasites can be conducted by looking for chromatin dots. If there are no chromatin dots  in red blood cells, then the red blood cells is considered as healthy red blood cells. Detection of chromatin dots manually will take a long time. Segmentation process is expected as first step to facilitate the detection of chromatin dots because segmentation is one of factors that is very important in  analysis of an image. This study conducts red blood cell segmentation by using Morphology operations, Canny edge detection and Watershed transformation. The data used are 15 image data and each image will be tested with four different Morphology operations and then image of the Morphology result will be tested 16 times experiment with masking parameter, sigma, high threshold (HT) and low threshold (LT) of Canny edge detection. The test results are then segmented by using Watershed transformation. The calculation of accuracy level is carried out by comparing the coordinates of each image pixel of segmentation results with images of ground truth and producing average of accuracy 39.3%."
,,,,,
,,,,,
,,,,,
Rancang Bangun Game Quisioner Tes TOEFL Berbasis Komunikasi Multiplayer Menggunakan REST Web Service,Penulis : Yudhistira Putra Mahardhika,"Dosen Pembimbing I : Hermawan. S.T., M.Kom",Dosen Pembimbing II :Cucun Very Angkoso. S.T. M.T,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
"IMPLEMENTASI PERAMALAN PENJUALAN MENGGUNAKAN 
METODE EXPONENTIAL SMOOTHING 
(Studi Kasus : Penjualan Produk Aksesoris Olahraga di Toko Trend Soccer) ",Penulis : Zayn Firdausi,"Dosen Pembimbing I : Achmad Jauhari, S.T., M.Kom","Dosen Pembimbing II :Sigit Susanto Putro, S.Kom., M.Kom","Peramalan memperkirakan sesuatu pada waktu-waktu yang akan datang berdasarkan data masa 
lampau yang dianalisa secara ilmiah, khususnya menggunakan metode perhitungan statistika. 
Semakin banyak jumlah permintaan konsumen terhadap aksesoris olahraga maka secara 
otomatis penjualanya akan meningkat pula.hal ini akan tergantung terhadap banyaknya  
penjualan aksesoris olahraga kepada konsumen.  Selama ini  toko trend soccer  tidak pernah 
menggunakan sistem peramalan.  Tidak adanya peramalan mengakibatkan kurang efisien 
terhadap keuntungan toko tersebut karena tidak ada peramalan penjualan tiap mingguannya. 
oleh karena itu dibutuhkan implementasi peramalan yang bisa memprediksi jumlah penjualan 
tiap minggunya agar mengetahui besarnya penjualan tiap minggunya Maka untuk meramalkan 
menggunakan metode Single Exponential Smoothing, dan Double Exponential Smoothing dan 
diterapkan pada tools winqsb, Program WinQSB merupakan program komputer yang dapat 
melakukan peramalan berkaitan dengan data-data berpola konstan, trend atau musiman, dengan 
masing-masing dari pola data tersebut menggunakan metode dalam WinQSB yang berbeda. 
Dalam pola-pola tersebut juga terdapat metode-metode yang ada.Dari hasil peramalan yang 
dilakukan  menggunakan metode  single exponential smoothing dan double exponential 
smoothing  dengan nilai  ? 0,1,  ? 0,3, ? 0,5.  diperoleh hasil terbaik dengan nilai MSE dan 
MAPE terkecil dengan nilai rata-rata MSE sebesar 62.64  dan nilai MAPE sebesar 12.64%. 
Kata kunci : Peramalan,  Single Exponential Smooting (SES), Double Exponential Smooting 
(DES), Mean Square Error (MSE). 
 ","Forecasting predict something on the future based on past data that analysed scientifically, 
especially using statistics counting methods. Many the consumers request the sport accessoris, 
so automatically sale will also increse. This thing will depend on the many sales of the sport 
accessoris for the concumer. During trend soccer  shop never using forecasting system.  The 
lack of forecasting results in less efficient against the profits of the store because there is not 
any weekly sales forecasting.  therefore needed implementation forecasting can predict the 
number of sales each week in order to determine the amount of sales each week.  So to predict 
using Single Exponential Smoothing methode, and Double Exponential Smoothing methode 
and applying for WinQSB application. WinQSB program is the computer program that can do 
forecasting involve with datas constant model, trend or seasonal with each data model using 
different methode in WinQSB. In that models data exits methodes.  From the results of 
forecasting is done using the method of single exponential smoothing and double exponential 
smoothing with ? values of 0.1, ? 0.3, ? 0.5.  it obtained the best result with MSE  value and 
smallest MAPE with average value MSE 62.64 and MAPE score 12,64%. 
Keywords: forecasting,  Single Exponential Smooting (SES),  Double Exponential Smooting 
(DES), Mean Square Error (MSE). "
,,,,,
IMPLEMENTASI ALGORITMA ENKRIPSI DES UNTUK APLIKASI MOBILE CHAT PADA OS ANDROID,Penulis : Zhomi Fero Anista,Dosen Pembimbing I : Cucun Very Angkoso S.T. M.T,Dosen Pembimbing II :Ari Kusumaningsih S.T. M.T.,"Pengiriman informasi melalui jaringan elektronik dalam permasalahan ini adalah chatting dengan media server memiliki kerentanan dalam keamanan data yang dikirimkan . Layanan tersebut diketahui memiliki beberapa kelemahan, yaitu kelemahan terhadap masalah keamanan sistem. Kelemahan itu dikarenakan data yang dikirim kedalam server menggunakan koneksi dengan jaringan global sehingga lebih rentan terhadap serangan hacker.Pada penelitian ini untuk menjamin keamanan dan kerahasiaan informasi pada komunikasi yang menggunakan jaringan IP mobile, dilakukan proses enkripsi dan dekripsi terhadap informasi yang akan dikirimkan. Enkripsi dilakukan pada saat pengiriman dengan cara mengkonversi informasi asli menjadi informasi yang terenkripsi sedangkan dekripsi dilakukan pada saat penerimaan dengan cara mengkonversi informasi terenkripsi menjadi informasi asli. Jadi informasi yang dikirimkan selama proses pengiriman adalah data informasi yang terenkripsi, sehingga informasi asli tidak dapat diketahui oleh pihak yang tidak berhak. Informasi asli hanya dapat diketahui oleh penerima dengan menggunakan kunci rahasia.Penggunaan algoritma enkripsi Data Encryption Standard (DES) merupakan upaya untuk mencegah kebocoran data chat ke pihak lain. Sehingga dalam menggunakan aplikasi chat tidak dikhawatirkan terjadinya kebocoran informasi pribadi. Karena berdasarkan hasil uji coba terbukti bahwa cipherteks yang dihasilkan telah sesuai dengan hasil perhitungan menggunakan algoritma enkripsi DES. dan telah diuji menggunakan beberapa aplikasi DES test vector. ","Transmission of information through electronic networks in meaning of chat with the server media has vulnerability security of the data being transmitted. These services are known has several drawbacks and the weakness of the security system issues. Because the data is sent into the server using a global network has vulnerable to hacker’s attacks. to ensure the security and confidentiality of information on communication using mobile IP networks, We are using encryption for the information being transmitted. The Encryption is performed at the time of Transmission by converting the original information into encrypted information. decryption is done by the time when reconverting the encrypted information being original information. So the information is encrypted during the process of sending the data, so that the original information cannot be known by unauthorized parties. Original information can only be known by the receiver using a secret key. Using Data Encryption Standard (DES) algorithm is an attempt to prevent data leakage from chat to the other party. So when using this chat application we no need to worry about the leakage of chat information. Because based on the test results, proved that the output of the cyphertext is match with the results of the DES encryption algorithm manual calculations. And has been tested using several DES test vectors applications."
,,,,,
